"time","medium2.T","medium2.X[1]","medium2.X[2]","medium2.X[3]","medium2.X[4]","medium2.p","state.T","state.p"
0,300,0.2,0.1,0.3,0.4,200000,200,100000
0.0002,300,0.2,0.1,0.3,0.4,200000.2,200.2,100000.2
0.0004,300,0.2,0.1,0.3,0.4,200000.4,200.4,100000.4
0.0006,300,0.2,0.1,0.3,0.4,200000.6,200.6,100000.6
0.0008,300,0.2,0.1,0.3,0.4,200000.8,200.8,100000.8
0.001,300,0.2,0.1,0.3,0.4,200001,201,100001
0.0012,300,0.2,0.1,0.3,0.4,200001.2,201.2,100001.2
0.0014,300,0.2,0.1,0.3,0.4,200001.4,201.4,100001.4
0.0016,300,0.2,0.1,0.3,0.4,200001.6,201.6,100001.6
0.0018,300,0.2,0.1,0.3,0.4,200001.8,201.8,100001.8
0.002,300,0.2,0.1,0.3,0.4,200002,202,100002
0.0022,300,0.2,0.1,0.3,0.4,200002.2,202.2,100002.2
0.0024,300,0.2,0.1,0.3,0.4,200002.4,202.4,100002.4
0.0026,300,0.2,0.1,0.3,0.4,200002.6,202.6,100002.6
0.0028,300,0.2,0.1,0.3,0.4,200002.8,202.8,100002.8
0.003,300,0.2,0.1,0.3,0.4,200003,203,100003
0.0032,300,0.2,0.1,0.3,0.4,200003.2,203.2,100003.2
0.0034,300,0.2,0.1,0.3,0.4,200003.4,203.4,100003.4
0.0036,300,0.2,0.1,0.3,0.4,200003.6,203.6,100003.6
0.0038,300,0.2,0.1,0.3,0.4,200003.8,203.8,100003.8
0.004,300,0.2,0.1,0.3,0.4,200004,204,100004
0.0042,300,0.2,0.1,0.3,0.4,200004.2,204.2,100004.2
0.0044,300,0.2,0.1,0.3,0.4,200004.4,204.4,100004.4
0.0046,300,0.2,0.1,0.3,0.4,200004.6,204.6,100004.6
0.0048,300,0.2,0.1,0.3,0.4,200004.8,204.8,100004.8
0.005,300,0.2,0.1,0.3,0.4,200005,205,100005
0.0052,300,0.2,0.1,0.3,0.4,200005.2,205.2,100005.2
0.0054,300,0.2,0.1,0.3,0.4,200005.4,205.4,100005.4
0.0056,300,0.2,0.1,0.3,0.4,200005.6,205.6,100005.6
0.0058,300,0.2,0.1,0.3,0.4,200005.8,205.8,100005.8
0.006,300,0.2,0.1,0.3,0.4,200006,206,100006
0.0062,300,0.2,0.1,0.3,0.4,200006.2,206.2,100006.2
0.0064,300,0.2,0.1,0.3,0.4,200006.4,206.4,100006.4
0.0066,300,0.2,0.1,0.3,0.4,200006.6,206.6,100006.6
0.0068,300,0.2,0.1,0.3,0.4,200006.8,206.8,100006.8
0.007,300,0.2,0.1,0.3,0.4,200007,207,100007
0.0072,300,0.2,0.1,0.3,0.4,200007.2,207.2,100007.2
0.0074,300,0.2,0.1,0.3,0.4,200007.4,207.4,100007.4
0.0076,300,0.2,0.1,0.3,0.4,200007.6,207.6,100007.6
0.0078,300,0.2,0.1,0.3,0.4,200007.8,207.8,100007.8
0.008,300,0.2,0.1,0.3,0.4,200008,208,100008
0.0082,300,0.2,0.1,0.3,0.4,200008.2,208.2,100008.2
0.0084,300,0.2,0.1,0.3,0.4,200008.4,208.4,100008.4
0.0086,300,0.2,0.1,0.3,0.4,200008.6,208.6,100008.6
0.0088,300,0.2,0.1,0.3,0.4,200008.8,208.8,100008.8
0.009,300,0.2,0.1,0.3,0.4,200009,209,100009
0.0092,300,0.2,0.1,0.3,0.4,200009.2,209.2,100009.2
0.0094,300,0.2,0.1,0.3,0.4,200009.4,209.4,100009.4
0.0096,300,0.2,0.1,0.3,0.4,200009.6,209.6,100009.6
0.0098,300,0.2,0.1,0.3,0.4,200009.8,209.8,100009.8
0.01,300,0.2,0.1,0.3,0.4,200010,210,100010
0.0102,300,0.2,0.1,0.3,0.4,200010.2,210.2,100010.2
0.0104,300,0.2,0.1,0.3,0.4,200010.4,210.4,100010.4
0.0106,300,0.2,0.1,0.3,0.4,200010.6,210.6,100010.6
0.0108,300,0.2,0.1,0.3,0.4,200010.8,210.8,100010.8
0.011,300,0.2,0.1,0.3,0.4,200011,211,100011
0.0112,300,0.2,0.1,0.3,0.4,200011.2,211.2,100011.2
0.0114,300,0.2,0.1,0.3,0.4,200011.4,211.4,100011.4
0.0116,300,0.2,0.1,0.3,0.4,200011.6,211.6,100011.6
0.0118,300,0.2,0.1,0.3,0.4,200011.8,211.8,100011.8
0.012,300,0.2,0.1,0.3,0.4,200012,212,100012
0.0122,300,0.2,0.1,0.3,0.4,200012.2,212.2,100012.2
0.0124,300,0.2,0.1,0.3,0.4,200012.4,212.4,100012.4
0.0126,300,0.2,0.1,0.3,0.4,200012.6,212.6,100012.6
0.0128,300,0.2,0.1,0.3,0.4,200012.8,212.8,100012.8
0.013,300,0.2,0.1,0.3,0.4,200013,213,100013
0.0132,300,0.2,0.1,0.3,0.4,200013.2,213.2,100013.2
0.0134,300,0.2,0.1,0.3,0.4,200013.4,213.4,100013.4
0.0136,300,0.2,0.1,0.3,0.4,200013.6,213.6,100013.6
0.0138,300,0.2,0.1,0.3,0.4,200013.8,213.8,100013.8
0.014,300,0.2,0.1,0.3,0.4,200014,214,100014
0.0142,300,0.2,0.1,0.3,0.4,200014.2,214.2,100014.2
0.0144,300,0.2,0.1,0.3,0.4,200014.4,214.4,100014.4
0.0146,300,0.2,0.1,0.3,0.4,200014.6,214.6,100014.6
0.0148,300,0.2,0.1,0.3,0.4,200014.8,214.8,100014.8
0.015,300,0.2,0.1,0.3,0.4,200015,215,100015
0.0152,300,0.2,0.1,0.3,0.4,200015.2,215.2,100015.2
0.0154,300,0.2,0.1,0.3,0.4,200015.4,215.4,100015.4
0.0156,300,0.2,0.1,0.3,0.4,200015.6,215.6,100015.6
0.0158,300,0.2,0.1,0.3,0.4,200015.8,215.8,100015.8
0.016,300,0.2,0.1,0.3,0.4,200016,216,100016
0.0162,300,0.2,0.1,0.3,0.4,200016.2,216.2,100016.2
0.0164,300,0.2,0.1,0.3,0.4,200016.4,216.4,100016.4
0.0166,300,0.2,0.1,0.3,0.4,200016.6,216.6,100016.6
0.0168,300,0.2,0.1,0.3,0.4,200016.8,216.8,100016.8
