"time","lowerTank.level","lowerTank.medium.h","upperTank.level","upperTank.medium.h","hysteresis.y"
0,2,167657.5,2,167657.5,1
2.5,2.00041177976049,167657.510093387,1.99794110742888,167657.499999773,1
5,2.00082344356982,167657.52017978,1.99588279461183,167657.499999547,1
7.5,2.0012349914381,167657.530259189,1.99382506149829,167657.49999932,1
10,2.00164642336609,167657.540331614,1.99176790808438,167657.499999094,1
12.5,2.00205773938013,167657.55039708,1.98971133423854,167657.499998867,1
15,2.00246893947536,167657.560455582,1.98765533998495,167657.499998641,1
17.5,2.00288002364995,167657.570507118,1.98559992533281,167657.499998414,1
20,2.0032909919039,167657.580551688,1.98354509028214,167657.499998187,1
22.5,2.00370184431624,167657.590589362,1.98149083443775,167657.49999796,1
25,2.00411258086263,167657.600620118,1.97943715792137,167657.499997733,1
27.5,2.00452320152821,167657.610643944,1.97738406080728,167657.499997506,1
30,2.00493370631298,167657.620660839,1.97533154309548,167657.499997279,1
32.5,2.00534409521694,167657.630670804,1.97327960478596,167657.499997052,1
35,2.00575436824009,167657.640673838,1.97122824587873,167657.499996825,1
37.5,2.00616452538244,167657.650669942,1.96917746637379,167657.499996598,1
40,2.00657456664398,167657.660659115,1.96712726627113,167657.499996371,1
42.5,2.00698449224161,167657.670641546,1.96507764448626,167657.499996144,1
45,2.00739430215761,167657.680617221,1.96302860110782,167657.499995917,1
47.5,2.00780399627261,167657.690586035,1.96098013673259,167657.499995689,1
50,2.00821357458662,167657.700547987,1.95893225136058,167657.499995462,1
52.5,2.00862303709963,167657.710503079,1.95688494499178,167657.499995235,1
55,2.00903238381165,167657.720451309,1.9548382176262,167657.499995007,1
57.5,2.00944161472268,167657.730392679,1.95279206926383,167657.49999478,1
60,2.00985072983272,167657.740327187,1.95074649990468,167657.499994552,1
62.5,2.01025972914176,167657.750254835,1.94870150954875,167657.499994325,1
65,2.0106686126498,167657.760175622,1.94665709819603,167657.499994097,1
67.5,2.01107738035686,167657.770089547,1.94461326584652,167657.499993869,1
70,2.01148603226292,167657.779996612,1.94257001250023,167657.499993642,1
72.5,2.01189456836799,167657.789896815,1.94052733815716,167657.499993414,1
75,2.01230298867206,167657.799790158,1.9384852428173,167657.499993186,1
77.5,2.01271129317514,167657.809676639,1.93644372648065,167657.499992958,1
80,2.01311948187722,167657.81955626,1.93440278914722,167657.49999273,1
82.5,2.0135275550884,167657.829429283,1.93236242926661,167657.499992503,1
85,2.01393551361807,167657.839296395,1.93032264279179,167657.499992275,1
87.5,2.01434335650692,167657.849156782,1.9282834345193,167657.499992046,1
90,2.01475108375495,167657.859010444,1.92624480444916,167657.499991818,1
92.5,2.01515869536217,167657.868857382,1.92420675258135,167657.49999159,1
95,2.01556619132856,167657.878697594,1.92216927891588,167657.499991362,1
97.5,2.01597357165414,167657.888531081,1.92013238345275,167657.499991134,1
100,2.01638083633891,167657.898357843,1.91809606619196,167657.499990906,1
102.5,2.01678798538285,167657.90817788,1.91606032713351,167657.499990677,1
105,2.01719501878598,167657.917991192,1.91402516627739,167657.499990449,1
107.5,2.01760193654829,167657.92779778,1.91199058362362,167657.49999022,1
110,2.01800873866978,167657.937597642,1.90995657917218,167657.499989992,1
112.5,2.01841542515045,167657.947390779,1.90792315292308,167657.499989763,1
115,2.01882199599031,167657.957177191,1.90589030487632,167657.499989535,1
117.5,2.01922845118934,167657.966956878,1.9038580350319,167657.499989306,1
120,2.01963479074757,167657.97672984,1.90182634338982,167657.499989078,1
122.5,2.02004101466497,167657.986496077,1.89979522995008,167657.499988849,1
125,2.02044712294155,167657.996255589,1.89776469471267,167657.49998862,1
127.5,2.02085311557732,167658.006008376,1.8957347376776,167657.499988391,1
130,2.02125899257227,167658.015754438,1.89370535884488,167657.499988162,1
132.5,2.0216647539264,167658.025493775,1.89167655821449,167657.499987933,1
135,2.02207039963972,167658.035226387,1.88964833578644,167657.499987705,1
137.5,2.02247592971221,167658.044952274,1.88762069156072,167657.499987476,1
140,2.02288134414389,167658.054671436,1.88559362553735,167657.499987246,1
142.5,2.02328664293475,167658.064383873,1.88356713771632,167657.499987017,1
145,2.0236918260848,167658.074089585,1.88154122809762,167657.499986788,1
147.5,2.02409689359402,167658.083788572,1.87951589668126,167657.499986559,1
150,2.02450184546243,167658.093480834,1.87749114346724,167657.49998633,1
152.5,2.02490668169002,167658.103166371,1.87546696845556,167657.4999861,1
155,2.02531140227679,167658.112845183,1.87344337164622,167657.499985871,1
157.5,2.02571600722275,167658.122517269,1.87142035303922,167657.499985642,1
