"time","bodyOfConstraint.v_0[1]","bodyOfConstraint.v_0[2]","bodyOfConstraint.v_0[3]","constraint.frame_b.r_0[1]","constraint.frame_b.r_0[2]","constraint.frame_b.r_0[3]","jointPrismatic_x.s","jointPrismatic_x.v","jointPrismatic_y.s","jointPrismatic_y.v"
0,0,0,0,0.2,-0.3,0.2,0,0,0,0
0.002,0.00198588922649732,-0.0208163996664214,-0.00655038873156942,0.200001985894075,-0.300020816450493,0.199993449595274,-1.87650954668055e-05,-0.0187650496483759,-1.13158023089175e-05,-0.0113157746793064
0.004,0.00397160070097001,-0.0416309361084813,-0.0131001911540721,0.200007943357467,-0.300083263508115,0.199973799102916,-7.50583140562775e-05,-0.0375284196836482,-4.52619622961114e-05,-0.022630536511656
0.006,0.00595699632249394,-0.062442161730819,-0.0196489517462607,0.20001787192075,-0.300187336252276,0.19994105007131,-0.000168875220078507,-0.0562888051635959,-0.000101835805134256,-0.0339434985856141
0.008,0.00794191158350656,-0.083248352139584,-0.0261961278854807,0.200031770741904,-0.3003330258568,0.199895205277826,-0.000300207857131666,-0.0750446516245875,-0.00018103253292236,-0.0452537235223552
0.01,0.00992620452513088,-0.104048019299753,-0.0327412513251572,0.200049638767878,-0.300520321283435,0.199836268195921,-0.000469046274726899,-0.0937946176698631,-0.000282846145277157,-0.0565604024274836
0.012,0.011909715417871,-0.124839488901915,-0.0392837952029277,0.20007147460456,-0.300749207918887,0.199764243424025,-0.000675377299636879,-0.112537193984664,-0.000407268698426848,-0.0678626251480258
0.014,0.0138922773487378,-0.145621011338162,-0.0458232089619184,0.200097276603224,-0.301019668480944,0.199679136400408,-0.000919185352723305,-0.131270803376019,-0.000554290797777651,-0.0791594405988192
0.016,0.0158737291182987,-0.166390896890977,-0.0523589608912307,0.200127042605258,-0.301331680342702,0.199580954245178,-0.00120045003684664,-0.149993922639454,-0.000723900143365565,-0.0904499302510606
0.018,0.0178539121938801,-0.187147483796224,-0.0588905280761791,0.200160769923173,-0.301685215333495,0.199469705822924,-0.00151914595741839,-0.168705053769212,-0.000916081421645103,-0.101733190771375
0.02,0.0198326689369478,-0.207889119662277,-0.0654173905513684,0.200198455566628,-0.302080242108089,0.199345400997189,-0.00187524485811534,-0.187402707208434,-0.00113081759337614,-0.113008323921277
0.022,0.0218098399256906,-0.22861413340492,-0.0719390224693229,0.200240096933112,-0.30251673338656,0.199208048352267,-0.00226872214731308,-0.206085376549728,-0.00136809382921978,-0.124274421301007
0.024,0.0237852660795212,-0.249320857516702,-0.0784548991080832,0.200285690277222,-0.302994649909026,0.199057660242241,-0.00269954243398911,-0.224751558610001,-0.00162788878754124,-0.135530576455131
0.026,0.0257587884179534,-0.270007625539445,-0.0849644960758695,0.200335232382268,-0.303513957957627,0.198894247277257,-0.00316767532300744,-0.243399751152028,-0.00191018413934503,-0.146775883498598
0.028,0.0277302480133855,-0.290672771569317,-0.0914672891553407,0.200388720310884,-0.30407462674244,0.198717819146118,-0.00367309305863506,-0.262028452438304,-0.00221496314725893,-0.158009436847701
0.03,0.0296994913877811,-0.311314686825675,-0.0979627721043621,0.200446146075112,-0.304676572532453,0.198528402196833,-0.00421572016112247,-0.280636212225312,-0.00254218029518497,-0.169230361970842
0.032,0.0316663615124828,-0.331931725309714,-0.104450426969196,0.200507504832552,-0.305319744568869,0.198326012401897,-0.0047955108736956,-0.299221546719036,-0.00289180799069173,-0.180437764104665
0.034,0.0336307000616987,-0.352522227425866,-0.11092973151755,0.200572792889957,-0.306004104138507,0.198110661943358,-0.0054124302981584,-0.317782959868584,-0.0032638251893306,-0.191630741094629
0.036,0.0355923497640659,-0.37308454463125,-0.11740016699513,0.200642005619944,-0.306729602736414,0.197882366084484,-0.00606643470947389,-0.33631896558657,-0.00365820552385631,-0.202808396794422
