"Time","sensor_frame_a1.a[1]","sensor_world1.v[1]","sensor_world1.z[2]","sensor_world2.r[1]","sensor_world1.a[3]","sensor_world1.w[3]","sensor_world2.angles[1]","sensor_world2.angles[2]","sensor_world2.angles[3]","sensor_world1.v[2]","sensor_frame_a1.angles[3]","sensor_frame_a2.v[3]","sensor_frame_a2.angles[1]","sensor_world1.z[3]","sensor_frame_a2.a[1]","sensor_frame_a1.v[2]","sensor_world2.a[3]","sensor_frame_a1.w[3]","sensor_frame_a1.angles[2]","sensor_frame_a2.r[1]","sensor_frame_a2.z[3]","sensor_frame_a2.v[1]","sensor_frame_a1.a[2]","sensor_frame_a2.w[2]","sensor_frame_a2.a[2]","sensor_world2.v[1]","sensor_frame_a2.angles[2]","sensor_world2.a[2]","sensor_frame_a1.w[1]","sensor_world1.r[3]","sensor_frame_a1.z[1]","sensor_world1.z[1]","sensor_world2.v[2]","sensor_frame_a1.a[3]","sensor_world2.w[2]","sensor_frame_a2.angles[3]","sensor_world1.v[3]","sensor_frame_a1.r[2]","sensor_frame_a1.w[2]","sensor_world1.r[2]","sensor_frame_a2.w[3]","sensor_world2.v[3]","sensor_world1.angles[3]","sensor_frame_a2.z[2]","sensor_world2.r[2]","sensor_frame_a1.z[3]","sensor_world1.r[1]","sensor_frame_a2.a[3]","sensor_frame_a2.w[1]","sensor_frame_a1.angles[1]","sensor_frame_a2.v[2]","sensor_world1.w[2]","sensor_world2.z[1]","sensor_frame_a2.r[3]","sensor_frame_a1.r[1]","sensor_world2.w[3]","sensor_world1.a[2]","sensor_world2.a[1]","sensor_frame_a2.z[1]","sensor_frame_a2.r[2]","sensor_world1.w[1]","sensor_world2.z[2]","sensor_world2.r[3]","sensor_frame_a1.r[3]","sensor_world2.w[1]","sensor_frame_a1.z[2]","sensor_world2.z[3]","sensor_frame_a1.v[1]","sensor_world1.angles[1]","sensor_world1.a[1]","sensor_frame_a1.v[3]","sensor_world1.angles[2]"
0,0,0,0,1,0,0,-0,-0,-0,0,-0,0,-0,-7.3503933,0,0,0,0,-0,1,-7.3503933,0,-14.700787,0,-14.700787,0,-0,-14.700787,0,1,7.3503933,7.3503933,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-7.3503933,1,0,0,-0,0,0,7.3503933,1,1,0,-14.700787,0,7.3503933,0,0,0,1,1,0,0,-7.3503933,0,-0,0,0,-0
0.001,-0.00018909846,-8.1042238e-08,-8.1042177e-05,1,-8.1042177e-05,-0.0073503833,3.6751933e-06,-1.3507046e-11,-3.6751933e-06,-0.014700767,-3.6751933e-06,2.701408e-08,3.6751933e-06,-7.3503733,-0.00018909846,-0.014700767,-8.1042177e-05,-0.0073503833,-1.3507046e-11,1,-7.3503733,-2.701408e-08,-14.700747,-2.701408e-08,-14.700747,-8.1042238e-08,-1.3507046e-11,-14.700747,0.0073503833,1,7.3503733,7.3503733,-0.014700767,-2.7014094e-05,-2.701408e-08,-3.6751933e-06,-2.701408e-08,4.2351647e-22,-2.701408e-08,-7.3503866e-06,-0.0073503833,-2.701408e-08,-3.6751933e-06,-8.1042177e-05,-7.3503866e-06,-7.3503733,1,-2.7014094e-05,0.0073503833,3.6751933e-06,-0.014700767,-2.701408e-08,7.3503733,1,1,-0.0073503833,-14.700747,-0.00024312653,7.3503733,4.2351647e-22,0.0073503833,-8.1042177e-05,1,1,0.0073503833,-8.1042177e-05,-7.3503733,-2.701408e-08,3.6751933e-06,-0.00024312653,2.701408e-08,-1.3507046e-11
0.0020000001,-0.0007563915,-6.4833608e-07,-0.00032416769,1,-0.00032416778,-0.014700744,1.4700756e-05,-2.1611216e-10,-1.4700751e-05,-0.029401492,-1.4700751e-05,2.1611206e-07,1.4700756e-05,-7.3503513,-0.0007563915,-0.029401492,-0.00032416778,-0.014700744,-2.1611216e-10,1,-7.3503513,-2.1611206e-07,-14.700706,-2.1611206e-07,-14.700706,-6.4833608e-07,-2.1611216e-10,-14.700706,0.014700749,1,7.3503551,7.3503551,-0.029401492,-0.0001080563,-2.1611206e-07,-1.4700751e-05,-2.1611211e-07,-3.3881318e-21,-2.1611206e-07,-2.9401506e-05,-0.014700744,-2.1611211e-07,-1.4700751e-05,-0.00032416766,-2.9401506e-05,-7.3503513,1,-0.0001080563,0.014700749,1.4700756e-05,-0.029401492,-2.1611206e-07,7.3503551,1,1,-0.014700744,-14.700706,-0.00097250292,7.3503551,-3.3881318e-21,0.014700749,-0.00032416769,1,1,0.014700749,-0.00032416766,-7.3503513,-2.1611206e-07,1.4700756e-05,-0.00097250292,2.1611206e-07,-2.1611216e-10
0.003,-0.0017018754,-2.1881285e-06,-0.00072937523,1,-0.00072937593,-0.022051079,3.3076674e-05,-1.0940655e-09,-3.3076649e-05,-0.044102177,-3.3076649e-05,7.2937632e-07,3.3076674e-05,-7.3503232,-0.0017018754,-0.044102177,-0.00072937593,-0.022051079,-1.0940655e-09,1,-7.3503232,-7.2937632e-07,-14.700665,-7.2937632e-07,-14.700665,-2.1881285e-06,-1.0940655e-09,-14.700665,0.0220511,1,7.3503423,7.3503423,-0.044102177,-0.00024312679,-7.293765e-07,-3.3076649e-05,-7.2937706e-07,6.7762636e-21,-7.2937632e-07,-6.6153319e-05,-0.022051079,-7.2937706e-07,-3.3076649e-05,-0.00072937476,-6.6153319e-05,-7.3503232,1,-0.00024312679,0.0220511,3.3076674e-05,-0.044102177,-7.293765e-07,7.3503423,1,1,-0.022051079,-14.700665,-0.0021881242,7.3503423,6.7762636e-21,0.0220511,-0.00072937523,1,1,0.0220511,-0.00072937476,-7.3503232,-7.2937632e-07,3.3076674e-05,-0.0021881242,7.2937632e-07,-1.0940655e-09
0.0040000002,-0.0030255436,-5.1866541e-06,-0.0012966633,1,-0.0012966695,-0.029401341,5.8803009e-05,-3.4577778e-09,-5.8802736e-05,-0.058802824,-5.8802736e-05,1.7288874e-06,5.8803009e-05,-7.3502822,-0.0030255436,-0.058802824,-0.0012966695,-0.029401341,-3.4577778e-09,1,-7.3502822,-1.7288874e-06,-14.700625,-1.7288874e-06,-14.700625,-5.1866541e-06,-3.4577778e-09,-14.700624,0.029401483,1,7.3503428,7.3503428,-0.058802824,-0.00043222849,-1.7288876e-06,-5.8802736e-05,-1.7288957e-06,6.7762636e-21,-1.7288874e-06,-0.00011760575,-0.029401341,-1.7288957e-06,-5.8802736e-05,-0.0012966618,-0.00011760575,-7.3502822,1,-0.00043222849,0.029401483,5.8803009e-05,-0.058802824,-1.7288876e-06,7.3503428,1,1,-0.029401341,-14.700624,-0.0038899805,7.3503428,6.7762636e-21,0.029401483,-0.0012966633,1,1,0.029401483,-0.0012966618,-7.3502822,-1.7288874e-06,5.8803009e-05,-0.0038899805,1.7288874e-06,-3.4577778e-09
0.0049999999,-0.0047273883,-1.0130143e-05,-0.0020260329,1,-0.002026052,-0.036751527,9.1879767e-05,-8.4418215e-09,-9.1878996e-05,-0.073503427,-9.1878996e-05,3.3767219e-06,9.1879767e-05,-7.3502183,-0.0047273883,-0.073503427,-0.002026052,-0.036751527,-8.4418215e-09,1,-7.3502183,-3.3767219e-06,-14.700584,-3.3767219e-06,-14.700584,-1.0130143e-05,-8.4418215e-09,-14.700583,0.0367519,1,7.3503661,7.3503661,-0.073503427,-0.00067536579,-3.3767278e-06,-9.1878996e-05,-3.376756e-06,0,-3.3767219e-06,-0.00018375876,-0.036751527,-3.376756e-06,-9.1878996e-05,-0.0020260247,-0.00018375876,-7.3502183,1,-0.00067536579,0.0367519,9.1879767e-05,-0.073503427,-3.3767278e-06,7.3503661,1,1,-0.036751527,-14.700583,-0.006078063,7.3503661,0,0.0367519,-0.0020260329,1,1,0.0367519,-0.0020260247,-7.3502183,-3.3767219e-06,9.1879767e-05,-0.006078063,3.3767219e-06,-8.4418215e-09
0.0060000001,-0.006807399,-1.7504823e-05,-0.0029174874,1,-0.0029175293,-0.044101648,0.00013230694,-1.7504931e-08,-0.00013230545,-0.088203989,-0.00013230545,5.8349542e-06,0.00013230694,-7.3501182,-0.006807399,-0.088203989,-0.0029175293,-0.044101648,-1.7504931e-08,1,-7.3501182,-5.8349542e-06,-14.700543,-5.8349542e-06,-14.700543,-1.7504823e-05,-1.7504931e-08,-14.700542,0.044102345,1,7.3504257,7.3504252,-0.088203989,-0.00097254524,-5.834981e-06,-0.00013230545,-5.8350465e-06,2.7105054e-20,-5.8349542e-06,-0.0002646124,-0.044101648,-5.8350465e-06,-0.00013230545,-0.0029174578,-0.0002646124,-7.3501182,1,-0.00097254524,0.044102345,0.00013230694,-0.088203989,-5.834981e-06,7.3504252,1,1,-0.044101648,-14.700542,-0.0087523609,7.3504257,2.7105054e-20,0.044102345,-0.0029174874,1,1,0.044102345,-0.0029174578,-7.3501182,-5.8349542e-06,0.00013230694,-0.0087523609,5.8349542e-06,-1.7504931e-08
0.0070000002,-0.0092655476,-2.7796852e-05,-0.0039710309,0.99999994,-0.0039711311,-0.05145153,0.00018008497,-3.242998e-08,-0.00018008155,-0.10290451,-0.00018008155,9.2656464e-06,0.00018008497,-7.349967,-0.0092655476,-0.10290451,-0.0039711311,-0.051451527,-3.242998e-08,1,-7.3499665,-9.2656464e-06,-14.700502,-9.2656464e-06,-14.700502,-2.7796852e-05,-3.242998e-08,-14.7005,0.051452987,1,7.3505359,7.3505354,-0.10290451,-0.0013237913,-9.2657338e-06,-0.00018008155,-9.2659093e-06,0,-9.2656464e-06,-0.00036016651,-0.051451527,-9.2659093e-06,-0.00018008155,-0.0039709536,-0.00036016651,-7.3499665,0.99999994,-0.0013237913,0.051452987,0.00018008497,-0.10290451,-9.2657338e-06,7.3505354,1,1,-0.05145153,-14.7005,-0.011912837,7.3505359,0,0.051452987,-0.0039710309,1,1,0.051452987,-0.0039709536,-7.349967,-9.2656464e-06,0.00018008497,-0.011912837,9.2656464e-06,-3.242998e-08
0.0080000004,-0.012101807,-4.1492396e-05,-0.0051866756,0.99999994,-0.0051868814,-0.058801163,0.00023521385,-5.5324008e-08,-0.00023520725,-0.11760499,-0.00023520725,1.3830849e-05,0.00023521385,-7.3497462,-0.012101807,-0.11760499,-0.0051868814,-0.058801163,-5.5324008e-08,1,-7.3497453,-1.3830849e-05,-14.700461,-1.3830849e-05,-14.700461,-4.1492396e-05,-5.5324008e-08,-14.700458,0.058803834,1,7.3507161,7.3507147,-0.11760499,-0.001729129,-1.3831089e-05,-0.00023520725,-1.3831477e-05,5.4210109e-20,-1.3830849e-05,-0.00047042113,-0.058801163,-1.3831477e-05,-0.00023520725,-0.0051864958,-0.00047042113,-7.3497453,0.99999994,-0.001729129,0.058803834,0.00023521385,-0.11760499,-1.3831089e-05,7.3507147,1,1,-0.058801163,-14.700458,-0.015559461,7.3507161,5.4210109e-20,0.058803834,-0.0051866756,1,1,0.058803834,-0.0051864958,-7.3497462,-1.3830849e-05,0.00023521385,-0.015559461,1.3830849e-05,-5.5324008e-08
0.0089999996,-0.015316145,-5.9077651e-05,-0.0065644444,0.99999988,-0.0065648034,-0.066150606,0.00029769351,-8.8618222e-08,-0.00029768274,-0.13230543,-0.00029768274,1.9692605e-05,0.00029769351,-7.3494339,-0.015316145,-0.13230544,-0.0065648034,-0.066150598,-8.8618222e-08,1,-7.3494325,-1.9692605e-05,-14.700419,-1.9692605e-05,-14.700419,-5.9077651e-05,-8.8618222e-08,-14.700413,0.066154838,0.99999994,7.350987,7.3509855,-0.13230543,-0.0021885841,-1.9693154e-05,-0.00029768274,-1.9693865e-05,-1.0842022e-19,-1.9692605e-05,-0.00059537624,-0.066150598,-1.9693865e-05,-0.00029768274,-0.0065640607,-0.00059537624,-7.3494325,0.99999988,-0.0021885841,0.066154838,0.00029769351,-0.13230544,-1.9693154e-05,7.3509855,1,1,-0.066150606,-14.700413,-0.019692205,7.350987,-1.0842022e-19,0.06615483,-0.0065644444,0.99999994,1,0.06615483,-0.0065640607,-7.3494339,-1.9692605e-05,0.00029769351,-0.019692205,1.9692605e-05,-8.8618222e-08
