"time","load.phi","load.w","shaft.phi","shaft.w","springDamper.phi_rel","springDamper.w_rel"
0,0,0,0,0,0,0
0.005,4.15358759816375e-12,3.75898621162457e-09,4.25934182610605e-07,0.000249940872333401,-2.72079805294616e-11,-2.45066412600497e-08
0.01,1.1490633675233e-10,5.62799261735883e-08,3.34282127871292e-06,0.000999065523355024,-7.26473545595847e-10,-3.49135173144803e-07
0.015,8.51730294289615e-10,2.81949410209622e-07,1.12472127972439e-05,0.00224530436528772,-5.07910903513884e-09,-1.6107548361312e-06
0.02,3.56434572259182e-09,8.87942157875065e-07,2.66186857071318e-05,0.00398520448615999,-1.96004218749099e-08,-4.52298865570228e-06
0.025,1.08420324984781e-08,2.1628889057926e-06,5.19140752147434e-05,0.00621395537369474,-5.38202179765524e-08,-9.52586253861671e-06
0.03,2.69189720805088e-08,4.47584315867483e-06,8.95628104845907e-05,0.00892540613614669,-1.18287402921484e-07,-1.65696102060229e-05
0.035,5.80733052515159e-08,8.27510097719614e-06,0.000141960255877312,0.0121120851725047,-2.220644925776e-07,-2.51340402763734e-05
0.04,1.13019929661718e-07,1.40868981106648e-05,0.000211461163134582,0.0157652218869469,-3.7091304054889e-07,-3.44711541437641e-05
0.045,2.0329677300198e-07,2.25139245218912e-05,0.000300373233361869,0.0198747714467598,-5.67006230978742e-07,-4.39539491807276e-05
0.05,3.43642767734706e-07,3.42335544714961e-05,0.000410950817731935,0.024429444280933,-8.10314701092386e-07,-5.33673208365353e-05
0.055,5.52365923931137e-07,4.99956883881147e-05,0.000545388782737251,0.0294167420489894,-1.10101023750331e-06,-6.29917389414738e-05
0.06,8.51699890075862e-07,7.06202116765356e-05,0.000705816567579839,0.0348229999941823,-1.4416217285976e-06,-7.34516423861023e-05
0.065,1.26814675133353e-06,9.69941076058707e-05,0.000894292470835728,0.0406334350620267,-1.83801727814342e-06,-8.5396778776008e-05
0.07,1.83280480111591e-06,0.000130068343821943,0.00111279818761674,0.0468321977917589,-2.29866511481229e-06,-9.91711320299077e-05
0.075,2.58168041724164e-06,0.000170854646426453,0.00136323361162528,0.0534024260816837,-2.83256033610525e-06,-0.00011462935374947
0.08,3.55598370364769e-06,0.000220422231964466,0.00164741190779577,0.0603262996560502,-3.44680452695511e-06,-0.000131188071978446
0.085,4.80240768103876e-06,0.000279894490666019,0.00196705485911657,0.0675850953443577,-4.1449989660414e-06,-0.000148085939070296
0.09,6.37339063412927e-06,0.0003504455492619,0.00232378849417567,0.0751592443677597,-4.92721296166025e-06,-0.000164726890010619
0.095,8.3273607607508e-06,0.000433296614660321,0.00271913900967594,0.0830283932777861,-5.79152944802723e-06,-0.000180941063844461
0.1,1.07289618350511e-05,0.000529712027233919,0.00315452900938156,0.0911714697348928,-6.7364110012586e-06,-0.000197038690055502
0.105,1.36492583873949e-05,0.000640995019405874,0.00363127408445312,0.0995667531986935,-7.76274206420316e-06,-0.000213632222995671
0.11,1.71659190693903e-05,0.00076848325011092,0.00415057975736382,0.108191949353609,-8.87456292163561e-06,-0.000231313284119423
0.115,2.13633773732681e-05,0.000913544233176823,0.00471353880324315,0.117024266302511,-1.00781455142313e-05,-0.000250340636991846
0.12,2.63329694774475e-05,0.00107757077426019,0.00532112895245079,0.126040490617788,-1.13798612091339e-05,-0.000270489028731882
0.125,3.21730494477245e-05,0.00126197647954686,0.00597421097055679,0.135217062196344,-1.27838669696031e-05,-0.00029113071746793
0.13,3.89890821281557e-05,0.00146819132490003,0.00667352711016023,0.144530148107124,-1.42907218221055e-05,-0.000311509522576973
