"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","downstreamPressure.y"
0,-0.0113162589624903,1000000,3264385.32408016,-0.0113162589624903,999317.755023646,3264385.32408016,1,0.0113162589624903,999317.755023646,3264396.18834217,1,999317.755023646
0.000202,-0.0141315757597322,1000000,3264385.32408016,-0.0141315757597322,998935.520653839,3264385.32408016,1,0.0141315757597322,998935.520653839,3264402.27505829,1,998935.520653839
0.000404,-0.0164739885592228,1000000,3264385.32408016,-0.0164739885592228,998552.643647923,3264385.32408016,1,0.0164739885592228,998552.643647923,3264408.37194147,1,998552.643647923
0.000606,-0.0185237646596076,1000000,3264385.32408016,-0.0185237646596076,998169.124622667,3264385.32408016,1,0.0185237646596076,998169.124622667,3264414.47898154,1,998169.124622667
0.000808,-0.0203694293295714,1000000,3264385.32408016,-0.0203694293295714,997784.964195871,3264385.32408016,1,0.0203694293295714,997784.964195871,3264420.59616834,1,997784.964195871
0.00101,-0.0220622579206086,1000000,3264385.32408016,-0.0220622579206086,997400.162986371,3264385.32408016,1,0.0220622579206086,997400.162986371,3264426.72349168,1,997400.162986371
0.001212,-0.0236351035645799,1000000,3264385.32408016,-0.0236351035645799,997014.721614035,3264385.32408016,1,0.0236351035645799,997014.721614035,3264432.86094137,1,997014.721614035
0.001414,-0.0251105133826893,1000000,3264385.32408016,-0.0251105133826893,996628.640699762,3264385.32408016,1,0.0251105133826893,996628.640699762,3264439.00850717,1,996628.640699762
0.001616,-0.026504755295758,1000000,3264385.32408016,-0.026504755295758,996241.92086548,3264385.32408016,1,0.026504755295758,996241.92086548,3264445.16617886,1,996241.92086548
0.001818,-0.0278300229346085,1000000,3264385.32408016,-0.0278300229346085,995854.562734148,3264385.32408016,1,0.0278300229346085,995854.562734148,3264451.33394618,1,995854.562734148
