"time","imcQS.rotorCage.port_p.reference.gamma","speed.phi"
0,-1.5707963267949,0
0.0005,-1.25675487116043,-0.0784809114774892
0.001,-0.942949034974978,-0.15684401323047
0.0015,-0.629378818238547,-0.23508930525894
0.002,-0.316044220951135,-0.313216787562901
0.0025,-0.00294524311274183,-0.391226460142353
0.003,0.309918115276632,-0.469118322997295
0.0035,0.622545854216986,-0.546892376127727
0.004,0.934937973708321,-0.62454861953365
0.0045,1.24709447375064,-0.702087053215063
0.005,1.55901535434393,-0.779507677171966
0.0055,1.87070061548821,-0.85681049140436
0.006,2.18215025718347,-0.933995495912244
0.0065,2.49336427942971,-1.01106269069562
0.007,2.80434268222693,-1.08801207575448
0.0075,3.11508546557513,-1.16484365108884
0.008,3.42559262947431,-1.24155741669869
0.0085,3.73586417392447,-1.31815337258402
0.009,4.04590009892561,-1.39463151874485
0.0095,4.35570040447774,-1.47099185518117
0.01,4.66526509058084,-1.54723438189297
0.0105,4.97459415723493,-1.62335909888027
0.011,5.28368760443999,-1.69936600614306
0.0115,5.59254543219604,-1.77525510368134
0.012,5.90116764050307,-1.85102639149511
0.0125,6.20955422936107,-1.92667986958436
0.013,6.51770519877006,-2.00221553794911
0.0135,6.82562054873003,-2.07763339658935
0.014,7.13330027924098,-2.15293344550508
0.0145,7.44074439030291,-2.22811568469631
0.015,7.74795288191583,-2.30318011416302
0.0155,8.05492575407972,-2.37812673390522
0.016,8.36166300679459,-2.45295554392291
0.0165,8.66816464006045,-2.52766654421609
0.017,8.97443065387729,-2.60225973478477
0.0175,9.2804610482451,-2.67673511562893
0.018,9.5862558231639,-2.75109268674858
0.0185,9.89181497863367,-2.82533244814373
0.019,10.1971385146544,-2.89945439981436
0.0195,10.5022264312262,-2.97345854176048
0.02,10.8070787283489,-3.0473448739821
0.0205,11.1116954060226,-3.1211133964792
0.021,11.4160764642473,-3.1947641092518
0.0215,11.7202219030229,-3.26829701229989
0.022,12.0241317223496,-3.34171210562346
0.0225,12.3278059222272,-3.41500938922253
0.023,12.6312445026558,-3.48818886309709
0.0235,12.9344474636354,-3.56125052724713
0.024,13.237414805166,-3.63419438167267
0.0245,13.5401465272475,-3.7070204263737
0.025,13.84264262988,-3.77972866135022
0.0255,14.1449031130635,-3.85231908660223
0.026,14.446927976798,-3.92479170212973
0.0265,14.7487172210835,-3.99714650793272
0.027,15.0502708459199,-4.0693835040112
0.0275,15.3515888513074,-4.14150269036517
0.028,15.6526712372458,-4.21350406699463
0.0285,15.9535180037352,-4.28538763389958
0.029,16.2541291507756,-4.35715339108002
0.0295,16.5545046783669,-4.42880133853596
0.03,16.8546445865092,-4.50033147626738
0.0305,17.1545488752026,-4.57174380427429
0.031,17.4542175444469,-4.64303832255669
0.0315,17.7536505942421,-4.71421503111459
0.032,18.0528480245884,-4.78527392994797
0.0325,18.3518098354856,-4.85621501905685
0.033,18.6505360269338,-4.92703829844121
0.0335,18.949026598933,-4.99774376810107
0.034,19.2472815514832,-5.06833142803641
0.0345,19.5453008845844,-5.13880127824725
0.035,19.8430845982365,-5.20915331873358
0.0355,20.1406326924397,-5.27938754949539
0.036,20.4379451671938,-5.3495039705327
0.0365,20.7350220224988,-5.4195025818455
0.037,21.0318632583549,-5.48938338343379
0.0375,21.328468874762,-5.55914637529756
0.038,21.62483887172,-5.62879155743683
0.0385,21.920973249229,-5.69831892985159
0.039,22.216872007289,-5.76772849254184
0.0395,22.5125351458999,-5.83702024550758
0.04,22.8079626650619,-5.90619418874881
0.0405,23.1031545647748,-5.97525032226553
0.041,23.3981108450387,-6.04418864605774
0.0415,23.6928315058536,-6.11300916012545
0.042,23.9873165472195,-6.18171186446864
0.0425,24.2815659691364,-6.25029675908732
0.043,24.5755797716042,-6.31876384398149
0.0435,24.869357954623,-6.38711311915115
0.044,25.1629005181928,-6.45534458459631
0.0445,25.4562074623136,-6.52345824031695
0.045,25.7492787869853,-6.59145408631309
0.0455,26.0421144922081,-6.65933212258471
0.046,26.3347145779818,-6.72709234913182
0.0465,26.6270790443065,-6.79473476595443
0.047,26.9192078911822,-6.86225937305252
0.0475,27.2111011186088,-6.92966617042611
0.048,27.5027587265865,-6.99695515807519
0.0485,27.7941807151151,-7.06412633599975
0.049,28.0853670841947,-7.13117970419981
0.0495,28.3763178338253,-7.19811526267536
0.05,28.6670329640069,-7.2649330114264
0.0505,28.9575124747394,-7.33163295045293
0.051,29.2477563660229,-7.39821507975494
0.0515,29.5377646378574,-7.46467939933245
0.052,29.8275372902429,-7.53102590918545
0.0525,30.1170743231794,-7.59725460931394
0.053,30.4063757366669,-7.66336549971792
0.0535,30.6954415307053,-7.72935858039739
0.054,30.9842717052947,-7.79523385135235
0.0545,31.2728662604351,-7.86099131258281
0.055,31.5612251961265,-7.92663096408875
0.0555,31.8493485123688,-7.99215280587018
0.056,32.1372362091622,-8.0575568379271
0.0565,32.4248882865065,-8.12284306025952
0.057,32.7123047444018,-8.18801147286742
0.0575,32.999485582848,-8.25306207575081
0.058,33.2864308018453,-8.3179948689097
0.0585,33.5731404013935,-8.38280985234407
0.059,33.8596143814928,-8.44750702605393
0.0595,34.145852742143,-8.51208639003929
0.06,34.4318554833441,-8.57654794430014
0.0605,34.7176226050963,-8.64089168883647
0.061,35.0031541073994,-8.7051176236483
0.0615,35.2884499902536,-8.76922574873562
0.062,35.5735102536587,-8.83321606409842
0.0625,35.8583348976148,-8.89708856973672
0.063,36.1429239221218,-8.96084326565051
0.0635,36.4272773271799,-9.02448015183979
0.064,36.7113951127889,-9.08799922830455
0.0645,36.9952772789489,-9.15140049504481
0.065,37.2789238256599,-9.21468395206056
0.0655,37.5623347529218,-9.27784959935181
0.066,37.8455100607348,-9.34089743691854
0.0665,38.1284497490987,-9.40382746476075
0.067,38.4111538180136,-9.46663968287847
0.0675,38.6936222674795,-9.52933409127167
0.068,38.9758550974964,-9.59191068994036
0.0685,39.2578523080643,-9.65436947888454
0.069,39.5396138991831,-9.71671045810421
0.0695,39.8211398708529,-9.77893362759938
0.07,40.1024302230737,-9.84103898737003
0.0705,40.3834849558455,-9.90302653741617
0.071,40.6643040691682,-9.96489627773781
0.0715,40.944887563042,-10.0266482083349
0.072,41.2252354374667,-10.0882823292075
0.0725,41.5053476924424,-10.1497986403556
0.073,41.7852243279691,-10.2111971417792
0.0735,42.0648653440467,-10.2724778334783
0.074,42.3442707406754,-10.3336407154529
0.0745,42.623440517855,-10.394685787703
0.075,42.9023746755856,-10.4556130502285
0.0755,43.1810732138672,-10.5164225030296
0.076,43.4595361326998,-10.5771141461061
0.0765,43.7377634320833,-10.6376879794581
0.077,44.0157551120178,-10.6981440030857
0.0775,44.2935111725033,-10.7584822169887
0.078,44.5710316135398,-10.8187026211672
0.0785,44.8483164351273,-10.8788052156212
0.079,45.1253656372657,-10.9387900003506
0.0795,45.4021792199552,-10.9986569753556
0.08,45.6787571831956,-11.0584061406361
0.0805,45.955099526987,-11.118037496192
0.081,46.2312062513294,-11.1775510420235
0.0815,46.5070773562227,-11.2369467781304
0.082,46.782712841667,-11.2962247045128
0.0825,47.0581127076624,-11.3553848211707
0.083,47.3332769542087,-11.4144271281041
0.0835,47.6082055813059,-11.473351625313
0.084,47.8828985889542,-11.5321583127974
0.0845,48.1573559771534,-11.5908471905573
0.085,48.4315777459036,-11.6494182585927
0.0855,48.7055638952048,-11.7078715169035
0.086,48.979314425057,-11.7662069654899
0.0865,49.2528293354602,-11.8244246043517
0.087,49.5261086264143,-11.882524433489
0.0875,49.7991522979195,-11.9405064529018
0.088,50.0719603499756,-11.9983706625901
0.0885,50.3445327825826,-12.0561170625539
0.089,50.6168695957407,-12.1137456527932
0.0895,50.8889707894497,-12.171256433308
0.09,51.1608363637098,-12.2286494040983
0.0905,51.4324663185208,-12.285924565164
0.091,51.7038606538828,-12.3430819165053
0.0915,51.9750193697957,-12.400121458122
0.092,52.2459424662597,-12.4570431900143
0.0925,52.5166299432746,-12.513847112182
0.093,52.7870818008405,-12.5705332246252
0.0935,53.0572980389574,-12.6271015273439
0.094,53.3272786576253,-12.6835520203381
0.0945,53.5970236568442,-12.7398847036078
0.095,53.866533036614,-12.7960995771529
0.0955,54.1358067969348,-12.8521966409736
0.096,54.4048449378066,-12.9081758950697
0.0965,54.6736474592294,-12.9640373394414
0.097,54.9422143612031,-13.0197809740885
0.0975,55.2105456437279,-13.0754067990111
0.098,55.4786413068036,-13.1309148142093
0.0985,55.7465013504303,-13.1863050196829
0.099,56.014125774608,-13.241577415432
0.0995,56.2815145793366,-13.2967320014565
0.1,56.5486677646163,-13.3517687777566
0.1005,56.8155853304469,-13.4066877443322
0.101,57.0822672768285,-13.4614889011832
0.1015,57.3487136037611,-13.5161722483098
0.102,57.6149243112446,-13.5707377857118
0.1025,57.8808993992792,-13.6251855133894
0.103,58.1466388678647,-13.6795154313424
0.1035,58.4121427170012,-13.7337275395709
0.104,58.6774109466887,-13.7878218380749
0.1045,58.9424435569272,-13.8417983268544
0.105,59.2072405477166,-13.8956570059094
0.1055,59.4718019190571,-13.9493978752398
0.106,59.7361276709485,-14.0030209348458
0.1065,60.0002178033909,-14.0565261847272
0.107,60.2640723163842,-14.1099136248842
0.1075,60.5276912099286,-14.1631832553166
0.108,60.7910744840239,-14.2163350760245
0.1085,61.0542221386702,-14.2693690870079
0.109,61.3171341738675,-14.3222852882669
0.1095,61.5798105896158,-14.3750836798012
0.11,61.8422513859151,-14.4277642616111
0.1105,62.1044565627653,-14.4803270336965
0.111,62.3664261201665,-14.5327719960574
0.1115,62.6281600581187,-14.5850991486937
0.112,62.8896583766219,-14.6373084916056
0.1125,63.1509210756761,-14.6894000247929
0.113,63.4119481552812,-14.7413737482557
0.1135,63.6727396154373,-14.793229661994
0.114,63.9332954561444,-14.8449677660079
0.1145,64.1936156774025,-14.8965880602971
0.115,64.4537002792116,-14.9480905448619
0.1155,64.7135492615716,-14.9994752197022
0.116,64.9731626244827,-15.050742084818
0.1165,65.2325403679447,-15.1018911402092
0.117,65.4916824919577,-15.152922385876
0.1175,65.7505889965216,-15.2038358218182
0.118,66.0092598816366,-15.254631448036
0.1185,66.2676951473025,-15.3053092645292
0.119,66.5258947935194,-15.3558692712979
0.1195,66.7838588202873,-15.4063114683421
0.12,67.0415872276062,-15.4566358556618
0.1205,67.299080015476,-15.506842433257
0.121,67.5563371838969,-15.5569312011276
0.1215,67.8133587328687,-15.6069021592738
0.122,68.0701446623915,-15.6567553076955
0.1225,68.3266949724652,-15.7064906463926
0.123,68.58300966309,-15.7561081753652
