"time","FF.RS1.TD1.x","FF.RS2.TD1.x"
0,3,3
0.001,3,3
0.001,3,3
0.05,3,3
0.1,3,3
0.15,3,3
0.2,3,3
0.25,3,3
0.3,3,3
0.35,3,3
0.4,3,3
0.45,3,3
0.5,3,3
0.55,3,3
0.6,3,3
0.65,3,3
0.7,3,3
0.75,3,3
0.8,3,3
0.85,3,3
0.9,3,3
0.95,3,3
1,3,3
1.05,3,3
1.1,3,3
1.15,3,3
1.2,3,3
1.25,3,3
1.3,3,3
1.35,3,3
1.4,3,3
1.45,3,3
1.5,3,3
1.55,3,3
1.6,3,3
1.65,3,3
1.7,3,3
1.75,3,3
1.8,3,3
1.85,3,3
1.9,3,3
1.95,3,3
2,3,3
2.05,3,3
2.1,3,3
2.15,3,3
2.2,3,3
2.25,3,3
2.3,3,3
2.35,3,3
2.4,3,3
2.45,3,3
2.5,3,3
2.55,3,3
2.6,3,3
2.65,3,3
2.7,3,3
2.75,3,3
2.8,3,3
2.85,3,3
2.9,3,3
2.95,3,3
3,3,3
3.05,3,3
3.1,3,3
3.15,3,3
3.2,3,3
3.25,3,3
3.3,3,3
3.35,3,3
3.4,3,3
3.45,3,3
3.5,3,3
3.55,3,3
3.6,3,3
3.65,3,3
3.7,3,3
3.75,3,3
3.8,3,3
3.85,3,3
3.9,3,3
3.95,3,3
4,3,3
4.05,3,3
4.1,3,3
4.15,3,3
4.2,3,3
4.25,3,3
4.3,3,3
4.35,3,3
4.4,3,3
4.45,3,3
4.5,3,3
4.55,3,3
4.6,3,3
4.65,3,3
4.7,3,3
4.75,3,3
4.8,3,3
4.85,3,3
4.9,3,3
4.95,3,3
5,3,3
5,3,3
5.05,3,3
5.1,3,3
5.15,3,3
5.2,3,3
5.25,3,3
5.3,3,3
5.35,3,3
5.4,3,3
5.45,3,3
5.5,3,3
5.55,3,3
5.6,3,3
5.65,3,3
5.7,3,3
5.75,3,3
5.8,3,3
5.85,3,3
5.9,3,3
5.95,3,3
6,3,3
6.05,3,3
6.1,3,3
6.15,3,3
6.2,3,3
6.25,3,3
6.3,3,3
6.35,3,3
6.4,3,3
6.45,3,3
6.5,3,3
6.55,3,3
6.6,3,3
6.65,3,3
6.7,3,3
6.75,3,3
6.8,3,3
6.85,3,3
6.9,3,3
