"time","tank1.level","tank1.medium.T","tank2.level","tank2.medium.T","tank3.level","tank3.medium.T","valveDelayed.filter.x[1]","valveDelayed.filter.x[2]"
0,8,293.15,3,293.15,3,293.15,0.001,0.001
0.002,7.99999935349332,293.15,2.99991836676388,293.149999912174,3.0000822797428,293.15000028277,0.001,0.001
0.004,7.99999870698908,293.15,2.99983673578559,293.149999824352,3.00016455722533,293.15000056551,0.001,0.001
0.006,7.99999806048727,293.15,2.99975510706514,293.149999736536,3.00024683244759,293.150000848219,0.001,0.001
0.008,7.99999741398789,293.15,2.99967348060253,293.149999648724,3.00032910540958,293.150001130898,0.001,0.001
0.01,7.99999676749094,293.15,2.99959185639777,293.149999560918,3.00041137611128,293.150001413545,0.001,0.001
0.012,7.99999612099643,293.15,2.99951023445085,293.149999473116,3.00049364455272,293.150001696163,0.001,0.001
0.014,7.99999547450435,293.15,2.99942861476177,293.149999385319,3.00057591073388,293.15000197875,0.001,0.001
0.016,7.9999948280147,293.15,2.99934699733053,293.149999297527,3.00065817465477,293.150002261306,0.001,0.001
0.018,7.99999418152748,293.15,2.99926538215713,293.14999920974,3.00074043631539,293.150002543831,0.001,0.001
0.02,7.9999935350427,293.15,2.99918376924156,293.149999121958,3.00082269571574,293.150002826326,0.001,0.001
0.022,7.99999288856035,293.15,2.99910215858383,293.149999034181,3.00090495285582,293.150003108791,0.001,0.001
0.024,7.99999224208043,293.15,2.99902055018394,293.149998946408,3.00098720773563,293.150003391225,0.001,0.001
0.026,7.99999159560294,293.15,2.99893894404188,293.149998858641,3.00106946035517,293.150003673628,0.001,0.001
0.028,7.99999094912789,293.15,2.99885734015767,293.149998770878,3.00115171071444,293.150003956001,0.001,0.001
0.03,7.99999030265526,293.15,2.99877573853129,293.149998683121,3.00123395881344,293.150004238343,0.001,0.001
0.032,7.99998965618507,293.15,2.99869413916275,293.149998595368,3.00131620465218,293.150004520655,0.001,0.001
0.034,7.99998900971731,293.15,2.99861254205202,293.14999850762,3.00139844823066,293.150004802936,0.001,0.001
0.036,7.99998836325198,293.15,2.99853094719911,293.149998419877,3.0014806895489,293.150005085187,0.001,0.001
0.038,7.99998771678909,293.15,2.99844935460403,293.149998332139,3.00156292860688,293.150005367407,0.001,0.001
0.04,7.99998707032862,293.15,2.99836776426678,293.149998244406,3.0016451654046,293.150005649596,0.001,0.001
0.042,7.99998642387059,293.15,2.99828617618736,293.149998156677,3.00172739994205,293.150005931756,0.001,0.001
