"time","specificEntropy.s","specificEntropy1.s"
0,5007.92750875887,5007.92750875887
0.000202,5013.36996891371,5013.36996891371
0.000404,5018.81242030142,5018.81242030142
0.000606,5024.25485415488,5024.25485415488
0.000808,5029.69726170698,5029.69726170698
0.00101,5035.13963419069,5035.13963419069
0.001212,5040.58196283901,5040.58196283901
0.001414,5046.02423888502,5046.02423888502
0.001616,5051.46645356187,5051.46645356187
0.001818,5056.90859810284,5056.90859810284
0.00202,5062.35066374128,5062.35066374128
0.002222,5067.79264171071,5067.79264171071
0.002424,5073.23452324477,5073.23452324477
0.002626,5078.67629957725,5078.67629957725
0.002828,5084.11796194212,5084.11796194212
0.00303,5089.55950157353,5089.55950157353
0.003232,5095.00090970584,5095.00090970584
0.003434,5100.44217757359,5100.44217757359
0.003636,5105.88329641157,5105.88329641157
0.003838,5111.32425745482,5111.32425745482
0.00404,5116.76505193861,5116.76505193861
0.004242,5122.20567109849,5122.20567109849
0.004444,5127.64610617029,5127.64610617029
0.004646,5133.08634839013,5133.08634839013
0.004848,5138.52638899447,5138.52638899447
0.00505,5143.96621922006,5143.96621922006
0.005252,5149.40583030399,5149.40583030399
0.005454,5154.84521348374,5154.84521348374
0.005656,5160.28435999711,5160.28435999711
0.005858,5165.72326108231,5165.72326108231
0.00606,5171.16190797795,5171.16190797795
0.006262,5176.60029192302,5176.60029192302
0.006464,5182.03840415697,5182.03840415697
0.006666,5187.47623591965,5187.47623591965
0.006868,5192.91377845139,5192.91377845139
0.00707,5198.35102299299,5198.35102299299
0.007272,5203.78796078569,5203.78796078569
0.007474,5209.22458307127,5209.22458307127
0.007676,5214.660881092,5214.660881092
0.007878,5220.09684609067,5220.09684609067
0.00808,5225.5324693106,5225.5324693106
0.008282,5230.96774199567,5230.96774199567
0.008484,5236.40265539034,5236.40265539034
0.008686,5241.83720073961,5241.83720073961
0.008888,5247.27136928911,5247.27136928911
0.00909,5252.70515228506,5252.70515228506
0.009292,5258.13854097429,5258.13854097429
0.009494,5263.5715266043,5263.5715266043
0.009696,5269.0041004232,5269.0041004232
0.009898,5274.43625367979,5274.43625367979
0.0101,5279.86797762354,5279.86797762354
0.010302,5285.2992635046,5285.2992635046
0.010504,5290.73010257385,5290.73010257385
0.010706,5296.16048608286,5296.16048608286
0.010908,5301.59040528396,5301.59040528396
0.01111,5307.01985143022,5307.01985143022
0.011312,5312.44881577546,5312.44881577546
