"time","tank.m","m_flow","T_forward","T_return","tankLevel","tank.ports[1].m_flow","tank.ports[1].p","tank.ports[1].h_outflow","tank.ports[2].m_flow","tank.ports[2].p","tank.ports[2].h_outflow","tank.portsData[1].diameter","tank.portsData[1].height","tank.portsData[1].zeta_out","tank.portsData[1].zeta_in","tank.portsData[2].diameter","tank.portsData[2].height","tank.portsData[2].zeta_out","tank.portsData[2].zeta_in","tank.ports_H_flow[1]","tank.ports_H_flow[2]","tank.ports_E_flow[1]","tank.ports_E_flow[2]","tank.ports_penetration[1]","tank.ports_penetration[2]","tank.portsData_diameter_internal[1]","tank.portsData_diameter_internal[2]","tank.portsData_height_internal[1]","tank.portsData_height_internal[2]","tank.portsData_zeta_in_internal[1]","tank.portsData_zeta_in_internal[2]","tank.portsData_zeta_out_internal[1]","tank.portsData_zeta_out_internal[2]","tank.portsData_diameter[1]","tank.portsData_diameter[2]","tank.portsData_height[1]","tank.portsData_height[2]","tank.portsData_zeta_in[1]","tank.portsData_zeta_in[2]","tank.portsData_zeta_out[1]","tank.portsData_zeta_out[2]","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valve.port_b.m_flow","valve.port_b.p","valve.port_b.h_outflow","valve.minLimiter.y","sensor_m_flow.port_b.m_flow","sensor_m_flow.port_b.p","sensor_m_flow.port_b.h_outflow","heater.port_b.m_flow","heater.port_b.p","heater.port_b.h_outflow","radiator.port_b.m_flow","radiator.port_b.p","radiator.port_b.h_outflow","handle.y","pipe.port_b.m_flow","pipe.port_b.p","pipe.port_b.h_outflow"
0,9.97753365711082,0.00135723570747406,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747406,111109.62404095,92643.464992815,-0.00135723570747406,111109.393577631,92643.464992815,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752372,2.03694165420902e-07,-2.03566056794138e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747406,130000,92667.13110742,-0.00135723570747406,111146.388316269,300001.65632485,0.1,-0.00135723570747406,130000,92667.13110742,-0.00135723570747406,129992.485263164,300001.65632485,-0.00135723570747406,111109.62404095,98245.4324563251,0.1,-0.00135723570747406,129970.126983763,300001.65632485
1.2,9.97753365711082,0.00135723570747407,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747407,111109.62404095,92643.4649928151,-0.00135723570747407,111109.393577631,92643.4649928151,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752372,2.03694165420904e-07,-2.0356605679414e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747407,130000,92667.1311074201,-0.00135723570747407,111146.388316269,300001.656324851,0.1,-0.00135723570747407,130000,92667.1311074201,-0.00135723570747407,129992.485263164,300001.656324851,-0.00135723570747407,111109.62404095,98245.4324563253,0.1,-0.00135723570747407,129970.126983763,300001.656324851
2.4,9.97753365711082,0.00135723570747407,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747407,111109.62404095,92643.4649928152,-0.00135723570747407,111109.393577631,92643.4649928152,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752372,2.03694165420904e-07,-2.0356605679414e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747407,130000,92667.1311074202,-0.00135723570747407,111146.388316269,300001.656324851,0.1,-0.00135723570747407,130000,92667.1311074202,-0.00135723570747407,129992.485263164,300001.656324851,-0.00135723570747407,111109.62404095,98245.4324563254,0.1,-0.00135723570747407,129970.126983763,300001.656324851
3.6,9.97753365711082,0.00135723570747406,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747406,111109.62404095,92643.464992815,-0.00135723570747406,111109.393577631,92643.464992815,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025955,-125.739018752372,2.03694165420902e-07,-2.03566056794138e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747406,130000,92667.13110742,-0.00135723570747406,111146.388316269,300001.65632485,0.1,-0.00135723570747406,130000,92667.13110742,-0.00135723570747406,129992.485263164,300001.65632485,-0.00135723570747406,111109.62404095,98245.432456325,0.1,-0.00135723570747406,129970.126983763,300001.65632485
4.8,9.97753365711082,0.00135723570747406,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747406,111109.62404095,92643.4649928151,-0.00135723570747406,111109.393577631,92643.4649928151,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752372,2.03694165420902e-07,-2.03566056794138e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747406,130000,92667.1311074201,-0.00135723570747406,111146.388316269,300001.656324851,0.1,-0.00135723570747406,130000,92667.1311074201,-0.00135723570747406,129992.485263164,300001.656324851,-0.00135723570747406,111109.62404095,98245.4324563251,0.1,-0.00135723570747406,129970.126983763,300001.656324851
6,9.97753365711082,0.00135723570747406,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747406,111109.62404095,92643.4649928152,-0.00135723570747406,111109.393577631,92643.4649928152,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752372,2.03694165420902e-07,-2.03566056794138e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747406,130000,92667.1311074202,-0.00135723570747406,111146.388316269,300001.65632485,0.1,-0.00135723570747406,130000,92667.1311074202,-0.00135723570747406,129992.485263164,300001.65632485,-0.00135723570747406,111109.62404095,98245.4324563254,0.1,-0.00135723570747406,129970.126983763,300001.65632485
7.2,9.97753365711082,0.00135723570747406,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747406,111109.62404095,92643.464992815,-0.00135723570747406,111109.393577631,92643.464992815,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752372,2.03694165420902e-07,-2.03566056794138e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747406,130000,92667.13110742,-0.00135723570747406,111146.388316269,300001.65632485,0.1,-0.00135723570747406,130000,92667.13110742,-0.00135723570747406,129992.485263164,300001.65632485,-0.00135723570747406,111109.62404095,98245.4324563252,0.1,-0.00135723570747406,129970.126983763,300001.65632485
8.4,9.97753365711082,0.00135723570747407,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747407,111109.62404095,92643.4649928149,-0.00135723570747407,111109.393577631,92643.4649928149,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752372,2.03694165420904e-07,-2.0356605679414e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747407,130000,92667.1311074199,-0.00135723570747407,111146.388316269,300001.656324851,0.1,-0.00135723570747407,130000,92667.1311074199,-0.00135723570747407,129992.485263164,300001.656324851,-0.00135723570747407,111109.62404095,98245.4324563251,0.1,-0.00135723570747407,129970.126983763,300001.656324851
9.6,9.97753365711082,0.00135723570747407,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747407,111109.62404095,92643.4649928153,-0.00135723570747407,111109.393577631,92643.4649928153,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752373,2.03694165420904e-07,-2.0356605679414e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747407,130000,92667.1311074202,-0.00135723570747407,111146.388316269,300001.656324851,0.1,-0.00135723570747407,130000,92667.1311074202,-0.00135723570747407,129992.485263164,300001.656324851,-0.00135723570747407,111109.62404095,98245.4324563254,0.1,-0.00135723570747407,129970.126983763,300001.656324851
10.8,9.97753365711082,0.00135723570747407,344.798248160593,296.572890125626,0.999999999999877,0.00135723570747407,111109.62404095,92643.4649928153,-0.00135723570747407,111109.393577631,92643.4649928153,0.01,0,0.5,1.04,0.01,0,0.5,1.04,133.342209025956,-125.739018752373,2.03694165420904e-07,-2.0356605679414e-07,1,1,0.01,0.01,0,0,1.04,1.04,0.5,0.5,0.01,0.01,0,0,1.04,1.04,0.5,0.5,-0.00135723570747407,130000,92667.1311074203,-0.00135723570747407,111146.388316269,300001.656324851,0.1,-0.00135723570747407,130000,92667.1311074203,-0.00135723570747407,129992.485263164,300001.656324851,-0.00135723570747407,111109.62404095,98245.4324563254,0.1,-0.00135723570747407,129970.126983763,300001.656324851
