"time","loadInertia.phi","loadInertia.w","smr.idq_rr[1]","smr.idq_rr[2]","smr.idq_sr[1]","smr.idq_sr[2]","vfController.x"
0,0,0,0,0,0,0,0
5e-05,-1.10578773003384e-28,-1.03925660480691e-23,-8.50100075561995e-11,0.000356030666456851,8.64805877034856e-11,-0.000375900310180031,3.92705637243962e-07
0.0001,-1.50719079060076e-26,-9.15017380597019e-22,-1.20296730791726e-09,0.00142064235219421,1.22382485213044e-09,-0.00150024201325492,1.57080282038951e-06
0.00015,-2.98771886172766e-25,-1.29457586908299e-20,-5.87921780591102e-09,0.00318846786889602,5.98138476338346e-09,-0.00336784762585183,3.53429821643214e-06
0.0002,-3.3443510368602e-24,-1.02014192754089e-19,-1.86729130470634e-08,0.00565406943416196,1.89983147899512e-08,-0.00597347084090537,6.28319174384539e-06
0.00025,-1.73423017732607e-23,-4.45917980325973e-19,-4.53880400900316e-08,0.00881207360354566,4.61809857592437e-08,-0.00931192733293253,9.8174834752354e-06
0.0003,-6.27828325190638e-23,-1.47154280375481e-18,-9.3815826727644e-08,0.0126571800307527,9.54589001612153e-08,-0.0133781031281536,1.41371733726381e-05
0.00035,-1.96333469871289e-22,-4.04433086390284e-18,-1.73097114738358e-07,0.0171841177974119,1.76136118059062e-07,-0.0181669125385958,1.9242261434492e-05
0.0004,-5.26219926216616e-22,-9.58083232690204e-18,-2.93899188320792e-07,0.0223876529917578,2.99071398806915e-07,-0.0236733054561719,2.51327476601107e-05
0.00045,-1.25565482012034e-21,-2.03934812710545e-17,-4.6882373560601e-07,0.0282625962583117,4.77094024134226e-07,-0.0298922746034592,3.18086320490765e-05
0.0005,-2.75521239701953e-21,-4.00816244964752e-17,-7.12315943821557e-07,0.0348038006066269,7.2491189875982e-07,-0.0368188534271765,3.92699146013768e-05
0.00055,-5.59022357252134e-21,-7.34155369139946e-17,-1.04009610541882e-06,0.0420061490522826,1.05853278098752e-06,-0.0444481042202973,4.75165953169899e-05
0.0006,-1.05633044651027e-20,-1.26326430310544e-16,-1.46922558929215e-06,0.0498645560737526,1.4953316452515e-06,-0.0527751195222916,5.65486741959919e-05
0.00065,-1.90294700724838e-20,-2.07044023579225e-16,-2.01906557310803e-06,0.0583739905927265,2.0550289063358e-06,-0.061795044212678,6.63661512382822e-05
0.0007,-3.25195333661879e-20,-3.2461143255539e-16,-2.70984924450369e-06,0.067529442066663,2.7582341126897e-06,-0.0715030429130703,7.6969026443742e-05
0.00075,-5.32078418650521e-20,-4.88996652434517e-16,-3.56395539819327e-06,0.0773259499555522,3.62774562959277e-06,-0.0818943283133947,8.83572998126431e-05
0.0008,-8.35510117498373e-20,-7.11786126152452e-16,-4.60521019684439e-06,0.0877585880114041,4.68783757000151e-06,-0.0929641460709566,0.000100530971345094
0.00085,-1.26506241295131e-19,-1.00442419666348e-15,-5.85896961392999e-06,0.0988224661641444,5.9643454236463e-06,-0.104707776623354,0.000113490041041164
0.0009,-1.85942333394461e-19,-1.37253478677139e-15,-7.35173751337331e-06,0.110512722346605,7.48428124755467e-06,-0.117120527332432,0.000127234508900584
0.00095,-2.6577688700639e-19,-1.8280784104513e-15,-9.11202127397486e-06,0.122824540832074,9.27669624723427e-06,-0.130197750106472,0.000141764374923428
0.001,-3.69791146294475e-19,-2.36720282442671e-15,-1.11696075260637e-05,0.135753136373914,1.1371952643376e-05,-0.143934826157403,0.000157079639109696
0.00105,-5.01890355631857e-19,-2.97941571546423e-15,-1.35557687010507e-05,0.149293758805186,1.38019307894591e-05,-0.158327170421565,0.000173180301459391
0.0011,-6.66914728363644e-19,-3.66253155389619e-15,-1.63034029798132e-05,0.163441696388943,1.66001678674908e-05,-0.173370234780461,0.000190066361972461
0.00115,-8.62672629219864e-19,-4.34650413648276e-15,-1.94466374510859e-05,0.17819226622413,1.98014653051498e-05,-0.189059498837327,0.000207737820648942
0.0012,-1.09200358555387e-18,-4.99807388876496e-15,-2.30212811590764e-05,0.193540825247708,2.34423365913716e-05,-0.205390480494339,0.000226194677488807
0.00125,-1.3515853494785e-18,-5.53675159318216e-15,-2.70645336056002e-05,0.209482763163904,2.75607194196319e-05,-0.22235872915497,0.000245436932492051
0.0013,-1.62468277400401e-18,-5.79530538631544e-15,-3.16149306987894e-05,0.22601350116669,3.21959226762676e-05,-0.239959824495933,0.000265464585658689
0.00135,-1.90449684818351e-18,-5.65786776699775e-15,-3.67126170598188e-05,0.243128498461364,3.73888944379029e-05,-0.258189382736578,0.000286277636988719
0.0014,-2.15124433606757e-18,-4.85571324518562e-15,-4.23990426020076e-05,0.260823245087513,4.31819230554483e-05,-0.277043049739626,0.000307876086482138
0.00145,-2.30942074458536e-18,-3.04432339604055e-15,-4.87170646513999e-05,0.27909326431964,4.96187378111085e-05,-0.296516503318845,0.00033025993413894
0.0015,-2.32007432732872e-18,1.47166375784481e-16,-5.57109995707563e-05,0.297934113861946,5.67445598687497e-05,-0.316605454387516,0.000353429179959122
0.00155,-2.09978818191154e-18,5.20063906665358e-15,-6.34265343590575e-05,0.317341383802388,6.46060150269123e-05,-0.337305644991804,0.000377383823942673
0.0016,-1.54373016330035e-18,1.26967092645087e-14,-7.19107394793236e-05,0.337310696909566,7.32511463792434e-05,-0.358612848596126,0.000402123866089578
0.00165,-4.94994597264156e-19,2.34006376475461e-14,-8.12120376674123e-05,0.357837707783477,8.27293834970405e-05,-0.380522869266389,0.000427649306399855
0.0017,1.26498111258652e-18,3.82913226637633e-14,-9.13801886281531e-05,0.378918102468747,9.30915273165742e-05,-0.403031541298095,0.000453960144873566
0.00175,3.93192308222722e-18,5.83361928769215e-14,-0.000102466344651394,0.400547600132331,0.000104389805131403,-0.426134730830376,0.00048105638151069
0.0018,7.76685902795471e-18,8.47323731116476e-14,-0.000114522976089585,0.422721950952906,0.000116677796941608,-0.449828333815849,0.000508938016311245
0.00185,1.30752461065373e-17,1.18853416361809e-13,-0.000127603879012867,0.445436936402429,0.000130010443036256,-0.474108276291628,0.000537605049275257
0.0019,2.02669497400454e-17,1.6239506936119e-13,-0.00014176417120099,0.468688369214095,0.000144444039770392,-0.49897051434865,0.000567057480402737
0.00195,3.02804927618159e-17,2.18380181386177e-13,-0.000157060331376523,0.492472094776052,0.000160036276304482,-0.524411035472472,0.000597295309693567
