"time","aims.i_0_r","aims.idq_rr[1]","aims.idq_rr[2]","aims.idq_sr[1]","aims.idq_sr[2]","loadInertia.phi","loadInertia.w"
0,0,-0,-0,0,0,0,0
5e-05,9.79665150647138e-23,-0.000233625932017537,0.000390357377682563,0.000242081736712596,-0.000404489750339401,8.30017182391551e-23,2.24552640051849e-18
0.0001,4.56953253172003e-22,-0.00023948317813404,0.000386228621028986,0.00024840384635951,-0.000400634994519365,7.11041718182071e-22,1.38302397606005e-17
0.00015,5.70325238533381e-22,-0.000245277349139487,0.000382011893081595,0.000254666737624248,-0.000396684769622543,2.61704804942336e-21,4.17364501992405e-17
0.0002,1.31626074584826e-21,-0.000251009612873979,0.000377710291316586,0.000260870586630894,-0.000392642887065312,6.76943569419932e-21,9.25034616151465e-17
0.00025,3.62300124253082e-21,-0.000256670607222105,0.000373311934616405,0.000267005932263481,-0.000388496767185779,1.44781418674531e-20,1.74246275771788e-16
0.0003,4.38664316902369e-21,-0.000262260305400907,0.000368827133458117,0.000273073757758827,-0.000384255927418427,3.29415691053436e-20,3.14135967145704e-16
0.00035,4.40226053156553e-21,-0.000267779991412413,0.000364254887404705,0.000279075029742442,-0.000379919711669663,6.01872555170962e-20,5.04412812097372e-16
0.0004,3.66985333015632e-21,-0.000273229665256622,0.000359595196456168,0.000285009748214326,-0.000375488119939484,9.62152011027108e-20,7.45076810626791e-16
0.00045,3.22831173910041e-21,-0.000278603032598557,0.000354853236113001,0.00029087101157277,-0.000370966216446058,1.54073837122982e-19,1.06815790054554e-15
0.0005,2.77964085835912e-21,-0.000283901898903097,0.000350027521836422,0.000296660799470834,-0.000366352548570788,2.30020356045991e-19,1.4644686255156e-15
0.00055,2.18083803140741e-21,-0.00028912713058196,0.000345117341221659,0.000302380061910165,-0.000361646419226851,3.22258648542832e-19,1.92960008235485e-15
0.0006,1.91611193854949e-21,-0.000294273859158298,0.000340127124986155,0.000308023572631976,-0.000356852030202035,4.45732688357771e-19,2.49258975075744e-15
0.00065,2.18646743491776e-21,-0.000299340063628513,0.000335058712410687,0.000313589162110122,-0.000351971125743769,6.06646022431937e-19,3.16549167815532e-15
0.0007,2.73736020256748e-21,-0.000304328303308806,0.000329909774305391,0.000319079577743675,-0.000347001497008531,7.97142732937236e-19,3.93304111246072e-15
0.00075,3.20781332376807e-21,-0.000309236229581642,0.000324682695077857,0.000324492244346914,-0.000341945441742829,1.02738454054392e-18,4.81026161555094e-15
0.0008,2.79086527182117e-21,-0.000314058592127961,0.000319382805055571,0.000329821405109082,-0.000336808096543873,1.3200879050121e-18,5.83073826124505e-15
0.00085,2.03141362222221e-21,-0.00031879893620492,0.000314006504956005,0.000335070947293847,-0.000331585992944736,1.65991362684144e-18,6.97179286143695e-15
0.0009,9.46786482063754e-22,-0.000323456999665369,0.000308554092779623,0.000340240580671046,-0.000326279423175106,2.04835554856977e-18,8.23502790225933e-15
