"time","Adder.AND.G2.x","Adder.AND.G2.y","Adder.XOR.G2.x","Adder.XOR.G2.y"
0,3,1,3,1
0.001,3,1,3,1
0.002,3,1,3,1
0.003,3,1,3,1
0.004,3,1,3,1
0.005,3,1,3,1
0.006,3,1,3,1
0.007,3,1,3,1
0.008,3,1,3,1
0.009,3,1,3,1
0.01,3,1,3,1
0.011,3,1,3,1
0.012,3,1,3,1
0.013,3,1,3,1
0.014,3,1,3,1
0.015,3,1,3,1
0.016,3,1,3,1
0.017,3,1,3,1
0.018,3,1,3,1
0.019,3,1,3,1
0.02,3,1,3,1
0.021,3,1,3,1
0.022,3,1,3,1
0.023,3,1,3,1
0.024,3,1,3,1
0.025,3,1,3,1
0.026,3,1,3,1
0.027,3,1,3,1
0.028,3,1,3,1
0.029,3,1,3,1
0.03,3,1,3,1
0.031,3,1,3,1
0.032,3,1,3,1
0.033,3,1,3,1
0.034,3,1,3,1
0.035,3,1,3,1
0.036,3,1,3,1
0.037,3,1,3,1
0.038,3,1,3,1
0.039,3,1,3,1
0.04,3,1,3,1
0.041,3,1,3,1
0.042,3,1,3,1
0.043,3,1,3,1
0.044,3,1,3,1
0.045,3,1,3,1
0.046,3,1,3,1
0.047,3,1,3,1
0.048,3,1,3,1
0.049,3,1,3,1
0.05,3,1,3,1
0.051,3,1,3,1
0.052,3,1,3,1
0.053,3,1,3,1
0.054,3,1,3,1
0.055,3,1,3,1
0.056,3,1,3,1
0.057,3,1,3,1
0.058,3,1,3,1
0.059,3,1,3,1
0.06,3,1,3,1
0.061,3,1,3,1
0.062,3,1,3,1
0.063,3,1,3,1
0.064,3,1,3,1
0.065,3,1,3,1
0.066,3,1,3,1
0.067,3,1,3,1
0.068,3,1,3,1
0.069,3,1,3,1
0.07,3,1,3,1
0.071,3,1,3,1
0.072,3,1,3,1
0.073,3,1,3,1
0.074,3,1,3,1
0.075,3,1,3,1
0.076,3,1,3,1
0.077,3,1,3,1
0.078,3,1,3,1
0.079,3,1,3,1
0.08,3,1,3,1
0.081,3,1,3,1
0.082,3,1,3,1
0.083,3,1,3,1
0.084,3,1,3,1
0.085,3,1,3,1
0.086,3,1,3,1
0.087,3,1,3,1
0.088,3,1,3,1
0.089,3,1,3,1
0.09,3,1,3,1
0.091,3,1,3,1
0.092,3,1,3,1
0.093,3,1,3,1
0.094,3,1,3,1
0.095,3,1,3,1
0.096,3,1,3,1
0.097,3,1,3,1
0.098,3,1,3,1
0.099,3,1,3,1
0.1,3,1,3,1
0.101,3,1,3,1
0.102,3,1,3,1
0.103,3,1,3,1
0.104,3,1,3,1
0.105,3,1,3,1
0.106,3,1,3,1
0.107,3,1,3,1
0.108,3,1,3,1
0.109,3,1,3,1
0.11,3,1,3,1
0.111,3,1,3,1
0.112,3,1,3,1
0.113,3,1,3,1
0.114,3,1,3,1
0.115,3,1,3,1
0.116,3,1,3,1
0.117,3,1,3,1
0.118,3,1,3,1
0.119,3,1,3,1
0.12,3,1,3,1
0.121,3,1,3,1
0.122,3,1,3,1
0.123,3,1,3,1
0.124,3,1,3,1
0.125,3,1,3,1
0.126,3,1,3,1
0.127,3,1,3,1
0.128,3,1,3,1
0.129,3,1,3,1
0.13,3,1,3,1
0.131,3,1,3,1
0.132,3,1,3,1
0.133,3,1,3,1
0.134,3,1,3,1
0.135,3,1,3,1
0.136,3,1,3,1
0.137,3,1,3,1
0.138,3,1,3,1
0.139,3,1,3,1
0.14,3,1,3,1
0.141,3,1,3,1
0.142,3,1,3,1
0.143,3,1,3,1
0.144,3,1,3,1
0.145,3,1,3,1
0.146,3,1,3,1
0.147,3,1,3,1
0.148,3,1,3,1
0.149,3,1,3,1
0.15,3,1,3,1
0.151,3,1,3,1
0.152,3,1,3,1
0.153,3,1,3,1
0.154,3,1,3,1
0.155,3,1,3,1
0.156,3,1,3,1
0.157,3,1,3,1
0.158,3,1,3,1
0.159,3,1,3,1
0.16,3,1,3,1
0.161,3,1,3,1
0.162,3,1,3,1
0.163,3,1,3,1
0.164,3,1,3,1
0.165,3,1,3,1
0.166,3,1,3,1
0.167,3,1,3,1
0.168,3,1,3,1
0.169,3,1,3,1
0.17,3,1,3,1
0.171,3,1,3,1
0.172,3,1,3,1
0.173,3,1,3,1
0.174,3,1,3,1
0.175,3,1,3,1
0.176,3,1,3,1
0.177,3,1,3,1
0.178,3,1,3,1
0.179,3,1,3,1
0.18,3,1,3,1
0.181,3,1,3,1
0.182,3,1,3,1
0.183,3,1,3,1
0.184,3,1,3,1
0.185,3,1,3,1
0.186,3,1,3,1
0.187,3,1,3,1
0.188,3,1,3,1
0.189,3,1,3,1
0.19,3,1,3,1
0.191,3,1,3,1
0.192,3,1,3,1
0.193,3,1,3,1
0.194,3,1,3,1
0.195,3,1,3,1
0.196,3,1,3,1
0.197,3,1,3,1
0.198,3,1,3,1
0.199,3,1,3,1
0.2,3,1,3,1
0.201,3,1,3,1
0.202,3,1,3,1
0.203,3,1,3,1
0.204,3,1,3,1
0.205,3,1,3,1
0.206,3,1,3,1
0.207,3,1,3,1
0.208,3,1,3,1
0.209,3,1,3,1
0.21,3,1,3,1
0.211,3,1,3,1
0.212,3,1,3,1
0.213,3,1,3,1
0.214,3,1,3,1
0.215,3,1,3,1
0.216,3,1,3,1
0.217,3,1,3,1
0.218,3,1,3,1
0.219,3,1,3,1
0.22,3,1,3,1
0.221,3,1,3,1
0.222,3,1,3,1
0.223,3,1,3,1
0.224,3,1,3,1
0.225,3,1,3,1
0.226,3,1,3,1
0.227,3,1,3,1
0.228,3,1,3,1
0.229,3,1,3,1
0.23,3,1,3,1
0.231,3,1,3,1
0.232,3,1,3,1
0.233,3,1,3,1
0.234,3,1,3,1
0.235,3,1,3,1
0.236,3,1,3,1
0.237,3,1,3,1
0.238,3,1,3,1
0.239,3,1,3,1
0.24,3,1,3,1
0.241,3,1,3,1
0.242,3,1,3,1
0.243,3,1,3,1
0.244,3,1,3,1
0.245,3,1,3,1
0.246,3,1,3,1
0.247,3,1,3,1
0.248,3,1,3,1
0.249,3,1,3,1
0.25,3,1,3,1
0.251,3,1,3,1
0.252,3,1,3,1
0.253,3,1,3,1
0.254,3,1,3,1
0.255,3,1,3,1
0.256,3,1,3,1
0.257,3,1,3,1
0.258,3,1,3,1
0.259,3,1,3,1
0.26,3,1,3,1
0.261,3,1,3,1
0.262,3,1,3,1
0.263,3,1,3,1
0.264,3,1,3,1
0.265,3,1,3,1
0.266,3,1,3,1
0.267,3,1,3,1
0.268,3,1,3,1
0.269,3,1,3,1
0.27,3,1,3,1
0.271,3,1,3,1
0.272,3,1,3,1
0.273,3,1,3,1
0.274,3,1,3,1
0.275,3,1,3,1
0.276,3,1,3,1
0.277,3,1,3,1
0.278,3,1,3,1
0.279,3,1,3,1
0.28,3,1,3,1
0.281,3,1,3,1
0.282,3,1,3,1
0.283,3,1,3,1
0.284,3,1,3,1
0.285,3,1,3,1
0.286,3,1,3,1
0.287,3,1,3,1
0.288,3,1,3,1
0.289,3,1,3,1
0.29,3,1,3,1
0.291,3,1,3,1
0.292,3,1,3,1
0.293,3,1,3,1
0.294,3,1,3,1
0.295,3,1,3,1
0.296,3,1,3,1
0.297,3,1,3,1
0.298,3,1,3,1
0.299,3,1,3,1
0.3,3,1,3,1
0.3,3,3,3,3
0.301,3,3,3,3
0.302,3,3,3,3
0.303,3,3,3,3
0.304,3,3,3,3
0.305,3,3,3,3
0.306,3,3,3,3
0.307,3,3,3,3
0.308,3,3,3,3
0.309,3,3,3,3
0.31,3,3,3,3
0.311,3,3,3,3
0.312,3,3,3,3
0.313,3,3,3,3
0.314,3,3,3,3
0.315,3,3,3,3
0.316,3,3,3,3
0.317,3,3,3,3
0.318,3,3,3,3
0.319,3,3,3,3
0.32,3,3,3,3
0.321,3,3,3,3
0.322,3,3,3,3
0.323,3,3,3,3
0.324,3,3,3,3
0.325,3,3,3,3
0.326,3,3,3,3
0.327,3,3,3,3
0.328,3,3,3,3
0.329,3,3,3,3
0.33,3,3,3,3
0.331,3,3,3,3
0.332,3,3,3,3
0.333,3,3,3,3
0.334,3,3,3,3
0.335,3,3,3,3
0.336,3,3,3,3
0.337,3,3,3,3
0.338,3,3,3,3
0.339,3,3,3,3
0.34,3,3,3,3
0.341,3,3,3,3
0.342,3,3,3,3
0.343,3,3,3,3
0.344,3,3,3,3
0.345,3,3,3,3
0.346,3,3,3,3
0.347,3,3,3,3
0.348,3,3,3,3
0.349,3,3,3,3
0.35,3,3,3,3
0.351,3,3,3,3
0.352,3,3,3,3
0.353,3,3,3,3
0.354,3,3,3,3
0.355,3,3,3,3
0.356,3,3,3,3
0.357,3,3,3,3
0.358,3,3,3,3
0.359,3,3,3,3
0.36,3,3,3,3
0.361,3,3,3,3
0.362,3,3,3,3
0.363,3,3,3,3
0.364,3,3,3,3
0.365,3,3,3,3
0.366,3,3,3,3
0.367,3,3,3,3
0.368,3,3,3,3
0.369,3,3,3,3
0.37,3,3,3,3
0.371,3,3,3,3
0.372,3,3,3,3
0.373,3,3,3,3
0.374,3,3,3,3
0.375,3,3,3,3
0.376,3,3,3,3
0.377,3,3,3,3
0.378,3,3,3,3
0.379,3,3,3,3
0.38,3,3,3,3
0.381,3,3,3,3
0.382,3,3,3,3
0.383,3,3,3,3
0.384,3,3,3,3
0.385,3,3,3,3
0.386,3,3,3,3
0.387,3,3,3,3
0.388,3,3,3,3
0.389,3,3,3,3
0.39,3,3,3,3
0.391,3,3,3,3
0.392,3,3,3,3
0.393,3,3,3,3
0.394,3,3,3,3
0.395,3,3,3,3
0.396,3,3,3,3
0.397,3,3,3,3
0.398,3,3,3,3
0.399,3,3,3,3
0.4,3,3,3,3
0.401,3,3,3,3
0.402,3,3,3,3
0.403,3,3,3,3
0.404,3,3,3,3
0.405,3,3,3,3
0.406,3,3,3,3
0.407,3,3,3,3
0.408,3,3,3,3
0.409,3,3,3,3
0.41,3,3,3,3
0.411,3,3,3,3
0.412,3,3,3,3
0.413,3,3,3,3
0.414,3,3,3,3
0.415,3,3,3,3
0.416,3,3,3,3
0.417,3,3,3,3
0.418,3,3,3,3
0.419,3,3,3,3
0.42,3,3,3,3
0.421,3,3,3,3
0.422,3,3,3,3
0.423,3,3,3,3
0.424,3,3,3,3
0.425,3,3,3,3
0.426,3,3,3,3
0.427,3,3,3,3
0.428,3,3,3,3
0.429,3,3,3,3
0.43,3,3,3,3
0.431,3,3,3,3
0.432,3,3,3,3
0.433,3,3,3,3
0.434,3,3,3,3
0.435,3,3,3,3
0.436,3,3,3,3
0.437,3,3,3,3
0.438,3,3,3,3
0.439,3,3,3,3
0.44,3,3,3,3
0.441,3,3,3,3
0.442,3,3,3,3
0.443,3,3,3,3
0.444,3,3,3,3
0.445,3,3,3,3
0.446,3,3,3,3
0.447,3,3,3,3
0.448,3,3,3,3
0.449,3,3,3,3
0.45,3,3,3,3
0.451,3,3,3,3
0.452,3,3,3,3
0.453,3,3,3,3
0.454,3,3,3,3
0.455,3,3,3,3
0.456,3,3,3,3
0.457,3,3,3,3
0.458,3,3,3,3
0.459,3,3,3,3
0.46,3,3,3,3
0.461,3,3,3,3
0.462,3,3,3,3
0.463,3,3,3,3
0.464,3,3,3,3
0.465,3,3,3,3
0.466,3,3,3,3
0.467,3,3,3,3
0.468,3,3,3,3
0.469,3,3,3,3
0.47,3,3,3,3
0.471,3,3,3,3
0.472,3,3,3,3
0.473,3,3,3,3
0.474,3,3,3,3
0.475,3,3,3,3
0.476,3,3,3,3
0.477,3,3,3,3
0.478,3,3,3,3
0.479,3,3,3,3
0.48,3,3,3,3
0.481,3,3,3,3
0.482,3,3,3,3
0.483,3,3,3,3
0.484,3,3,3,3
0.485,3,3,3,3
0.486,3,3,3,3
0.487,3,3,3,3
0.488,3,3,3,3
0.489,3,3,3,3
0.49,3,3,3,3
0.491,3,3,3,3
0.492,3,3,3,3
0.493,3,3,3,3
0.494,3,3,3,3
0.495,3,3,3,3
0.496,3,3,3,3
0.497,3,3,3,3
0.498,3,3,3,3
0.499,3,3,3,3
